pid,label,creator,desc,_date,rights,format,type,source,publisher,contributor,_tags,names,notes
tmspro24,Photograph of Melanie Edwards speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro25,Photograph of Juanita Coleman Merritt reading from her book on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro26,Photograph of panel discussion at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro27,Photograph of Daryl Sherman speaking at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro28,Photograph of Daryl Sherman speaking at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro29,Photograph of Traci McCracken speaking at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro30,Photograph of Dan Perlstein speaking at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro31,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni","Robin Jones, Daryl Sherman",
tmspro32,Photograph of Patricia Hayes in conversation at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro33,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro34,Photograph of Kristalynn Williams contributing archival items for scanning at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro35,Photograph of Teachers College student Esther Cyna presenting digital collection site to Modern School multigenerational reunion participant,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro36,Photograph of Modern School alumna Shirley Ferguson Godfrey (l) sharing archival material with Teachers College students John Fleming (center) and Barry Goldenberg (right),"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro38,Tagging Party Instructions,"Akeem, Khadijah",,September 2020,Use with attribution,,text,,,,"Project documentation, metadata, artifacts, alumni",,
tmspro39,Screenshot of tagging party with Modern School alumni,,,"September 19, 2021",Under copyright,,Photograph,,,,"Project documentation, events, metadata, alumni",,
tmspro40,Screenshot of tagging party with Modern School alumni,,,"September 23, 2021",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro41,Oral history interview themes,,,Spring 2019,Use with attribution,,Text,,,,"Project documentation, oral history",,
tmspro42,Learning to the best of who you are,"Lamiell, Patricia",Teachers College website news article about the project,"June 27, 2017",Under copyright,,Text ,Teachers College News,,,"Project documentation, Teachers College",,
tmspro43,Harlem Stories: Oral History and Digital Tools,"Erickson, Ansley",Syllabus for A&HH 5051 class at Teachers College,Spring 2019,Use with attribution,,Text,,,,"Project documentation, Teachers College, oral history",,
tmspro44,Definitions of Black Agency: The Legacy of Mildred Johnson Edwards,"Hammond, Kordell",Interview about Documenting the Modern School with Ansley Erickson and Karen D. Taylor,"February 18, 2020",Under copyright ,,Text ,,,,"Project documentation, Teachers College, HumanitiesNY",,
tmspro45,Education and Class in Harlem ,,Event listing for Modern School multigenerational reunion ,April 2017,Under copyright,,Text ,New Yorkled website,,,"Project documentation, Teachers College",,
